timestep,electricity demand (kW),pv yield (kW/kW),temperature,heat_demand,heat_demand_profile
2021-01-01 00:00:00,0.1639164722230695,0.0,-7.1,53.709557014744846,0.00038499185117590813
2021-01-01 01:00:00,0.0968842500050862,0.0,-7.3,54.33196688001188,0.000389453305329282
2021-01-01 02:00:00,0.207420083363851,0.0,-7.5,54.860385198573525,0.0003932410250195125
2021-01-01 03:00:00,0.1096937499470181,0.0,-7.7,55.3300487969758,0.000396607588965091
2021-01-01 04:00:00,0.1930147502475314,0.0,-7.8,55.46035009269778,0.0003975415928898832
2021-01-01 05:00:00,0.1322477221171059,0.0,-8.0,55.51986189233571,0.00039796817540485585
2021-01-01 06:00:00,0.1685835275014243,0.0,-8.1,55.61468802096009,0.0003986478921783329
2021-01-01 07:00:00,0.1062965282228258,0.0,-8.2,56.06886560088289,0.00040190345183988566
2021-01-01 08:00:00,0.3458675812403365,0.10945,-8.2,55.92028513683172,0.00040083842224211913
2021-01-01 09:00:00,1.0977310301462813,0.25891,-7.4,53.27520870417007,0.0003818784283618379
2021-01-01 10:00:00,1.1673608043034862,0.42361,-6.7,50.92633579293632,0.0003650416309549152
2021-01-01 11:00:00,2.00994033347236,0.4818,-6.1,49.001745265973256,0.00035124610347499733
2021-01-01 12:00:00,1.0159223876529269,0.41007,-5.6,47.76958764597944,0.00034241395758834083
2021-01-01 13:00:00,0.2055497782177394,0.32391,-5.4,47.76120400713543,0.000342353863392493
2021-01-01 14:00:00,0.3792203059302433,0.14468,-5.5,48.61255067382188,0.0003484563439828668
2021-01-01 15:00:00,0.2646412496354844,0.0,-5.9,50.33800726172103,0.00036082447291226
2021-01-01 16:00:00,0.2026337778091429,0.0,-6.4,51.82273164994221,0.0003714670256063805
2021-01-01 17:00:00,0.264651110839844,0.0,-6.4,51.43848757285329,0.0003687127515671954
2021-01-01 18:00:00,0.2489836670345731,0.0,-6.4,50.82587129270433,0.00036432149815040967
2021-01-01 19:00:00,0.2284403609805636,0.0,-6.4,50.4983944862865,0.00036197413375331803
2021-01-01 20:00:00,0.2896666937298249,0.0,-6.4,50.66837512958227,0.00036319256053178774
2021-01-01 21:00:00,0.1826811944961546,0.0,-6.3,50.69472988688402,0.0003633814722891144
2021-01-01 22:00:00,0.1437054999457464,0.0,-6.3,51.173820432015134,0.0003668156088953848
2021-01-01 23:00:00,0.1490795002619425,0.0,-6.3,51.76230422318878,0.0003710338798464701
2021-01-02 00:00:00,0.1228891944885252,0.0,-6.2,51.76909972749484,0.000371082590242308
2021-01-02 01:00:00,0.143064083480835,0.0,-6.2,51.96029686226187,0.0003724530975215484
2021-01-02 02:00:00,0.1613941110187104,0.0,-6.0,51.62628971982352,0.0003700589234635123
2021-01-02 03:00:00,0.1516528891245525,0.0,-5.8,51.23352785722581,0.0003672435936608241
2021-01-02 04:00:00,0.1948348888609144,0.0,-5.7,50.975913361616776,0.00036539700457934943
2021-01-02 05:00:00,0.1384023059421116,0.0,-5.6,50.37173391405197,0.00036106622665287063
2021-01-02 06:00:00,0.1475517499499851,0.0,-5.5,50.079760964891975,0.0003589733550590957
2021-01-02 07:00:00,0.1243307777616711,0.0,-5.4,50.14614791532088,0.0003594492188784999
2021-01-02 08:00:00,0.1396040830612183,0.16268,-5.3,49.72600932817653,0.00035643765182404204
2021-01-02 09:00:00,0.1146310001797144,0.28159,-4.3,46.66343160802008,0.000334484995138949
2021-01-02 10:00:00,0.1416271392716303,0.35348,-3.5,44.30429081453632,0.00031757459721817356
2021-01-02 11:00:00,0.101878889020284,0.41718,-3.0,42.84290886222325,0.0003070993638636773
2021-01-02 12:00:00,0.1501267223782009,0.37016,-2.3,40.78403129052944,0.0002923412624804663
2021-01-02 13:00:00,0.1225878054724798,0.24791,-1.9,40.39322572478544,0.0002895399554772391
2021-01-02 14:00:00,0.1451094167709353,0.0627,-1.8,40.69881125917188,0.0002917304025245629
2021-01-02 15:00:00,0.1957731667200724,0.0,-2.1,42.20672015872593,0.000302539142549817
2021-01-02 16:00:00,0.9425742241753452,0.0,-2.6,43.592098583359856,0.00031246958014647335
2021-01-02 17:00:00,0.6169063052283393,0.0,-2.9,43.81236885968269,0.0003140484846497683
2021-01-02 18:00:00,0.2157543331993948,0.0,-3.1,43.694484334525896,0.00031320348454014815
2021-01-02 19:00:00,0.2673323054843481,0.0,-3.4,44.0377706217486,0.00031566417180973203
2021-01-02 20:00:00,0.2628409998999695,0.0,-3.6,44.52408355853365,0.00031915007875423114
2021-01-02 21:00:00,0.1895648609161379,0.0,-3.8,45.285092826205045,0.00032460501793092926
2021-01-02 22:00:00,0.1254810279422333,0.0,-4.1,46.39946392360672,0.00033259286619353583
2021-01-02 23:00:00,0.167586000612047,0.0,-4.3,47.4330561633856,0.0003400016889779852
2021-01-03 00:00:00,0.1067559998724195,0.0,-5.1,46.9810116265012,0.00033676141903829265
2021-01-03 01:00:00,0.1336081391334533,0.0,-6.0,49.05219245073621,0.00035160771053578855
2021-01-03 02:00:00,0.1681301945156522,0.0,-6.9,51.02329768533969,0.00036573665695260947
2021-01-03 03:00:00,0.1398960556242201,0.0,-7.4,52.11079447753853,0.0003735318693216401
2021-01-03 04:00:00,0.1959907780329384,0.0,-7.9,53.10049061727007,0.00038062604343356383
2021-01-03 05:00:00,0.1108420555114746,0.0,-8.3,53.44181317482124,0.00038307265462500685
2021-01-03 06:00:00,0.1816178885565861,0.0,-8.7,53.84327047284423,0.0003859503135915762
2021-01-03 07:00:00,0.0982309723112318,0.0,-9.0,54.49198948271399,0.0003906003525489669
2021-01-03 08:00:00,0.164506833246019,0.00477,-8.9,54.4743199985563,0.0003904736971119592
2021-01-03 09:00:00,0.1113221114476522,0.01206,-6.8,43.30566548614991,0.00031041641839161784
2021-01-03 10:00:00,0.1588277778837415,0.01891,-5.0,39.26950350297916,0.00028148507805082627
2021-01-03 11:00:00,0.1176631666607325,0.01749,-3.4,36.50398592789466,0.00026166175814522737
2021-01-03 12:00:00,0.1378803053961859,0.00374,-2.2,34.705922941760335,0.0002487731841923144
2021-01-03 13:00:00,0.1927408334732055,0.00379,-1.8,32.41006630626065,0.00023231640917380396
